Number,CraftType,RecipeLevelTable,ItemResult,AmountResult,ItemIngredient0,AmountIngredient0,ItemIngredient1,AmountIngredient1,ItemIngredient2,AmountIngredient2,ItemIngredient3,AmountIngredient3,ItemIngredient4,AmountIngredient4,ItemIngredient5,AmountIngredient5,ItemIngredient6,AmountIngredient6,ItemIngredient7,AmountIngredient7,ItemIngredient8,AmountIngredient8,ItemIngredient9,AmountIngredient9,IsSecondary,MaterialQualityFactor,DifficultyFactor,QualityFactor,DurabilityFactor,RequiredCraftsmanship,RequiredControl,QuickSynthCraftsmanship,QuickSynthControl,SecretRecipeBook,Quest,CanQuickSynth,CanHq,ExpRewarded,StatusRequired,ItemRequired,IsSpecializationRequired,IsExpert,PatchNumber
10034,1,11,2560,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10030,1,11,2368,1,5056,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10033,1,11,2521,1,5056,1,5324,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10031,1,11,2418,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10037,1,12,2508,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10038,1,12,2534,1,5056,1,5364,1,5503,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10035,1,12,2316,1,5056,1,5091,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10039,1,12,2547,1,5056,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10036,1,12,2394,1,2393,1,5091,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10041,1,13,1684,1,5056,2,5276,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10040,1,13,1605,1,5056,1,5276,1,5434,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10042,1,14,1753,1,5056,3,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10044,1,14,2419,1,2417,1,5258,1,5063,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10046,1,15,2343,1,5056,1,5325,1,5364,1,5483,1,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10047,1,15,2369,1,5056,1,5071,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10048,1,16,5057,1,5111,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1,0,0,50,50,100,58,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10054,1,16,2522,1,2520,1,5276,1,5352,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10050,1,16,1607,1,1602,1,5063,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10053,1,16,2317,1,2316,1,5091,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10051,1,16,1686,1,1684,1,5063,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10055,1,17,1754,1,5057,2,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10057,1,17,2548,1,5057,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10056,1,17,1756,1,5057,2,5367,1,5276,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10058,1,18,5092,1,5057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1,0,0,50,50,100,58,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10059,1,18,2344,1,5057,1,5325,1,5367,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10061,1,18,2395,1,5057,1,5092,1,5367,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10060,1,18,2370,1,5057,1,5367,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10063,1,19,2433,1,5057,1,5367,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10065,1,19,2549,1,5057,1,5367,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10062,1,19,2420,1,5057,1,5364,1,5259,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10064,1,19,2536,1,5057,1,5367,1,5504,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10066,1,20,1609,1,1603,1,5063,1,5277,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10071,1,20,2523,1,5057,1,5325,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10069,1,20,2318,1,5057,1,5092,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10070,1,20,2331,1,5057,1,5367,1,5483,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10067,1,20,1611,1,1607,1,5277,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10077,1,21,2510,1,5057,1,5367,1,5259,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10078,1,21,2562,1,5057,1,5367,1,5259,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10076,1,21,2484,1,5057,2,5367,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10072,1,21,1758,1,1754,1,5057,1,5063,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10073,1,21,2345,1,5057,1,5325,1,5368,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10075,1,21,2396,1,5057,1,5092,1,5368,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10074,1,21,2371,1,5057,1,5368,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10081,1,22,2358,1,5057,2,5277,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10082,1,22,2383,1,5057,1,5092,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10083,1,22,2524,1,5057,1,5325,1,5367,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10079,1,22,1614,1,5057,2,5367,1,5277,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10086,1,23,2537,1,5057,1,5367,1,5504,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10085,1,23,2434,1,5057,1,5368,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10084,1,23,1694,1,5072,1,5057,1,5277,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10087,1,24,1764,1,5057,2,5368,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10091,1,24,2550,1,2549,1,5063,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10088,1,24,2319,1,5057,1,5092,1,5367,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10089,1,24,2332,1,5057,1,5368,1,5484,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10090,1,24,2485,1,5057,2,5368,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10093,1,25,2421,1,5057,1,5368,1,5259,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10092,1,25,1622,1,5057,1,5277,1,5435,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10094,1,25,2511,1,5057,1,5368,1,5259,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10095,1,25,2563,1,5057,1,5368,1,5259,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10096,1,26,5058,1,5528,1,5111,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-1,0,0,50,50,100,58,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10101,1,26,2397,1,2396,1,5092,1,5063,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10100,1,26,2372,1,5057,1,5072,1,5371,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10099,1,26,2346,1,5057,1,5325,1,5371,1,4856,1,0,0,0,0,0,0,0,0,2,2,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10097,1,26,1766,1,1758,1,5057,1,5064,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10103,1,27,2359,1,5057,2,5280,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10104,1,27,2384,1,5057,1,5092,1,5484,1,0,0,0,0,0,0,0,0,0,0,2,3,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10105,1,27,2525,1,5057,1,5072,1,5371,1,5277,1,0,0,0,0,0,0,0,0,2,3,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10106,1,28,1625,1,5058,1,5371,1,5444,1,0,0,0,0,0,0,0,0,0,0,2,3,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10108,1,28,2320,1,5057,1,5092,1,5371,1,5063,1,0,0,0,0,0,0,0,0,2,3,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10107,1,28,1769,1,5058,3,5371,1,5280,1,0,0,0,0,0,0,0,0,0,0,2,3,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10109,1,29,5093,1,5058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-1,0,0,50,50,100,58,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10113,1,29,2422,1,5057,1,5371,1,5259,1,0,0,0,0,0,0,0,0,0,0,2,3,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10114,1,29,2551,1,5057,1,5371,1,5359,1,0,0,0,0,0,0,0,0,0,0,2,3,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10111,1,29,2347,1,2346,1,5057,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,3,5,2,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10110,1,29,1699,1,5073,1,5058,1,5371,1,5504,1,0,0,0,0,0,0,0,0,2,3,5,2,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10112,1,29,2373,1,2372,1,5371,1,5280,1,0,0,0,0,0,0,0,0,0,0,2,3,5,2,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10117,1,30,2398,1,5058,1,5093,1,5371,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10119,1,30,2526,1,5058,1,5326,1,5371,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10120,1,30,2539,1,5058,1,5371,1,5504,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10118,1,30,2423,1,2422,1,5259,1,5064,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10116,1,30,2321,1,5058,1,5093,1,5371,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10123,1,31,2436,1,5058,1,5371,1,5484,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10122,1,31,2334,1,5058,1,5371,1,5484,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10121,1,31,1633,1,5058,2,5371,1,5260,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10128,1,32,2513,1,5058,1,5371,1,5260,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10124,1,32,1776,1,5058,2,5405,1,5444,1,5504,1,0,0,0,0,0,0,0,0,2,3,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10127,1,32,2487,1,5058,2,5371,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10125,1,32,2348,1,5058,1,5326,1,5371,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10126,1,32,2399,1,5058,1,5093,1,5371,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10132,1,33,2565,1,5058,1,5371,1,5260,1,0,0,0,0,0,0,0,0,0,0,2,4,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10130,1,33,2540,1,2539,1,5504,1,5282,1,0,0,0,0,0,0,0,0,0,0,2,4,5,3,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10144,1,35,2553,1,5058,1,5368,1,5359,1,0,0,0,0,0,0,0,0,0,0,2,4,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10129,1,33,2527,1,5058,1,5073,1,5373,1,5326,1,0,0,0,0,0,0,0,0,2,4,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10137,1,34,2361,1,5058,2,5280,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10138,1,34,2374,1,5058,1,5373,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10136,1,34,2349,1,5058,1,5326,1,5373,1,5485,1,0,0,0,0,0,0,0,0,2,4,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10131,1,33,2552,1,5058,1,5373,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10141,1,35,2386,1,5058,1,5093,1,5485,1,0,0,0,0,0,0,0,0,0,0,2,4,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10140,1,35,2322,1,5058,1,5093,1,5373,1,0,0,0,0,0,0,0,0,0,0,2,4,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10139,1,35,1778,1,5058,2,5373,1,5057,1,0,0,0,0,0,0,0,0,0,0,2,4,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10143,1,35,2514,1,5058,1,5373,1,5260,1,0,0,0,0,0,0,0,0,0,0,2,4,5,3,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10142,1,35,2488,1,2487,1,5371,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,3,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10145,1,35,2566,1,2565,1,5260,1,5282,1,0,0,0,0,0,0,0,0,0,0,2,4,5,3,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10148,1,36,2424,1,5058,1,5373,1,5260,1,0,0,0,0,0,0,0,0,0,0,2,4,5,4,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10147,1,36,2335,1,2334,1,5282,1,5485,1,0,0,0,0,0,0,0,0,0,0,2,4,5,4,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10149,1,36,2437,1,2436,1,5280,1,5485,1,0,0,0,0,0,0,0,0,0,0,2,4,5,4,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10150,1,37,1639,1,5058,2,5371,1,5504,1,0,0,0,0,0,0,0,0,0,0,2,4,5,4,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10151,1,38,5065,1,5114,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,-1,0,0,50,50,100,50,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10158,1,38,2528,1,5065,1,5327,1,5373,1,5360,1,0,0,0,0,0,0,0,0,2,4,5,4,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10152,1,38,1643,1,5065,1,5373,1,5444,1,0,0,0,0,0,0,0,0,0,0,2,4,5,4,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10159,1,38,2554,1,5065,1,5373,1,5063,1,0,0,0,0,0,0,0,0,0,0,2,4,5,4,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10161,1,39,5099,1,5065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,-1,0,0,50,50,100,50,0,0,0,0,0,0,1,1,1,0,0,0,0,0
